premise	hypothesis	us_ratings	in_ratings
I've always jumped on sentiment and here I am being more sentimental than anybody.	I'm being the most sentimental of all, which isn't normal.	['E', 'E', 'E', 'N', 'E']	['E', 'E', 'N', 'N', 'E']
I've always jumped on sentiment and here I am being more sentimental than anybody.	I've always been soft at heart, but now I'm being more pessimistic than ever in my life.	['C', 'C', 'C', 'E', 'C']	['C', 'N', 'C', 'N', 'C']
I've always jumped on sentiment and here I am being more sentimental than anybody.	Now that I've experienced being sentimental, I'm starting to like it.	['N', 'N', 'C', 'C', 'N']	['N', 'N', 'E', 'N', 'C']
The purpose of this paper is to analyze rural delivery costs and compare them with city delivery costs.	They looked at the costs for rural delivery.	['E', 'E', 'N', 'E', 'E']	['E', 'N', 'E', 'E', 'N']
The purpose of this paper is to analyze rural delivery costs and compare them with city delivery costs.	They didn't compare the costs of rural vs city delivery.	['C', 'C', 'N', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
The purpose of this paper is to analyze rural delivery costs and compare them with city delivery costs.	Rural delivery is more expensive than city.	['N', 'C', 'C', 'N', 'N']	['N', 'N', 'N', 'C', 'N']
If he were someone who was an assistant, with an ailing mother to support, well, it would be impossible.	He'd be able to do it even with a sick mom.	['N', 'C', 'N', 'C']	['C', 'E', 'C', 'C', 'C']
If he were someone who was an assistant, with an ailing mother to support, well, it would be impossible.	It would not be possible if he was an assistant with a sick mom.	['E', 'E', 'E', 'E']	['E', 'C', 'E', 'E', 'E']
If he were someone who was an assistant, with an ailing mother to support, well, it would be impossible.	It wouldn't be possible for him to be the assistant manager of Hardees if his mother was sick.	['N', 'C', 'C', 'N']	['N', 'N', 'C', 'C', 'N']
He also has a private practice.	He has private practices as well.	['E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
He also has a private practice.	He has private and public practice, as well as other business to focus on.	['N', 'N', 'N', 'N', 'E']	['N', 'N', 'N', 'N', 'N']
He also has a private practice.	He only conducts public practice.	['C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
Her eyes flashed continually from one window to the other.	She was looking intently at the one window in front of her.	['E', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
Her eyes flashed continually from one window to the other.	Each of the windows she was looking at were large and brightly lit.	['N', 'N', 'C', 'N']	['N', 'N', 'N', 'E', 'N']
Her eyes flashed continually from one window to the other.	There were at least two windows that she could see.	['E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
We start with the fine review of a shockingly funny comedy about eye disease.	It was a whole comedy series about eye disease.	['N', 'N', 'N', 'C']	['E', 'N', 'E', 'C', 'N']
We start with the fine review of a shockingly funny comedy about eye disease.	The show about eye disease was tragic.	['C', 'N', 'C', 'C']	['N', 'C', 'C', 'C', 'C']
We start with the fine review of a shockingly funny comedy about eye disease.	The comedy about eye disease was hilarious.	['E', 'N', 'E', 'N']	['N', 'N', 'E', 'E', 'E']
In our family we have two sons in public life.	Having Two sons in public puts strains on our family's privacy.	['N', 'N', 'N', 'C']	['N', 'C', 'N', 'N', 'E', 'E', 'N']
In our family we have two sons in public life.	Our family has no members in public life.	['C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C', 'E', 'C']
In our family we have two sons in public life.	Our family has two sons in the public eye.	['E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E', 'C', 'E']
Flying at a discount should be more dangerous.	Discounted flight deals offered by some travel agents come with an element of risk.	['N', 'N', 'N', 'N', 'N']	['E', 'N', 'E', 'N', 'N']
Flying at a discount should be more dangerous.	It should be riskier to fly at a discounted rate.	['E', 'E', 'E', 'N', 'E']	['E', 'N', 'E', 'E', 'E']
Flying at a discount should be more dangerous.	It's totally safe to take advantage of discounted flying.	['N', 'N', 'N', 'N', 'C']	['C', 'C', 'N', 'C', 'C']
Each of them was as tough as a thick tree and loyal to the death.	They were loyal to their leader.	['N', 'N', 'N', 'N']	['N', 'E', 'E', 'C', 'E']
Each of them was as tough as a thick tree and loyal to the death.	None of them were loyal to anything.	['C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
Each of them was as tough as a thick tree and loyal to the death.	They were tough and loyal.	['E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
He seemed to have aged a thousand years.	He looked many years younger.	['C', 'C', 'C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
He seemed to have aged a thousand years.	He looked a lot older.	['E', 'E', 'E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
He seemed to have aged a thousand years.	He had aged due to stress.	['N', 'N', 'N', 'N', 'N', 'E', 'N']	['N', 'N', 'C', 'N', 'N']
They aren't breaking any promises if they decide to take their ball and go home.	They can take their ball and go sit around at home without breaking any promises to anyone.	['C', 'N', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'N']
They aren't breaking any promises if they decide to take their ball and go home.	If they go home they aren't breaking promises.	['E', 'E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
They aren't breaking any promises if they decide to take their ball and go home.	They promised to take their ball and go home.	['C', 'C', 'C', 'C', 'C', 'C']	['N', 'C', 'C', 'C', 'N']
Recently, however, I have settled down and become decidedly less experimental.	Lately, I have not been as wild and curious as I used to be.	['E', 'E', 'C', 'E', 'E']	['C', 'N', 'N', 'E', 'E']
Recently, however, I have settled down and become decidedly less experimental.	I am still as experimental as ever, and I am always on the move.	['C', 'C', 'N', 'C', 'C']	['N', 'C', 'C', 'C', 'C']
Recently, however, I have settled down and become decidedly less experimental.	I have lost my experimental nature due to old age.	['E', 'E', 'C', 'N', 'N']	['N', 'N', 'C', 'N', 'N']
It was made up to look as much like an old-fashioned steam train as possible.	They dressed it up as a modern bullet train.	['C', 'C', 'E', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
It was made up to look as much like an old-fashioned steam train as possible.	They altered it enough over the course of the day to fit in with the old-timey theme.	['N', 'E', 'E', 'N', 'N', 'C', 'N']	['E', 'E', 'E', 'E', 'E']
It was made up to look as much like an old-fashioned steam train as possible.	It was built in the modern era to look like something built in the past.	['E', 'E', 'E', 'N', 'E', 'E', 'E']	['N', 'E', 'E', 'E', 'E']
Workers are also represented in civil rights and retaliation claims.	There is no representation for workers.	['C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
Workers are also represented in civil rights and retaliation claims.	Some workers are represented in civil rights and retaliation claims.	['E', 'E', 'N', 'E', 'E']	['N', 'E', 'E', 'N', 'N']
Workers are also represented in civil rights and retaliation claims.	The workers are fairly represented in all claims.	['E', 'N', 'N', 'C', 'N']	['E', 'C', 'N', 'E', 'E']
Even though the scratch was tiny, it broke his heart and haunted him for two weeks.	He was haunted for a full month by the scratch.	['N', 'C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
Even though the scratch was tiny, it broke his heart and haunted him for two weeks.	The scratch haunted him for two weeks.	['E', 'E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
Even though the scratch was tiny, it broke his heart and haunted him for two weeks.	He got poisoned from the scratch so his heart broke.	['C', 'C', 'C', 'C', 'C', 'N']	['C', 'C', 'C', 'N', 'C']
Both professors soon realized that creating a new language was not an easy task.	Professors realized it was easy to make a new language.	['C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
Both professors soon realized that creating a new language was not an easy task.	Professors realized it was hard to make a new language based on Swedish.	['C', 'N', 'N', 'C']	['N', 'N', 'N', 'N', 'C']
Both professors soon realized that creating a new language was not an easy task.	Professors realized it was hard to make a new language.	['E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
They encourage us to indulge ourselves, and they exhort us to worry about our competence at work.	They want us to indulge ourselves, and force us to worry at work.	['E', 'E', 'C', 'E', 'N']	['E', 'C', 'E', 'E', 'E']
They encourage us to indulge ourselves, and they exhort us to worry about our competence at work.	There are no consequences to indulging ourselves.	['E', 'C', 'N', 'C', 'N']	['C', 'E', 'N', 'C', 'C']
They encourage us to indulge ourselves, and they exhort us to worry about our competence at work.	They want us to to indulge ourselves with booze.	['C', 'N', 'N', 'C', 'N']	['N', 'N', 'C', 'C', 'N']
Most produce is locally grown, with some from the restaurant's own organic garden.	Most produce is local.	['E', 'E', 'N', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
Most produce is locally grown, with some from the restaurant's own organic garden.	All of the produce comes from Mexico.	['C', 'C', 'C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
Most produce is locally grown, with some from the restaurant's own organic garden.	Most produce is local and some is grown inside the restaurant.	['N', 'C', 'E', 'E', 'E', 'E', 'E']	['E', 'N', 'C', 'E', 'N']
What's more, there is no evidence of any competitive evaluation of Tripp before she was offered this job.	It is doubtful Tripp was evaluated before receiving this job offer.	['E', 'C', 'E', 'N', 'E']	['E', 'C', 'N', 'N', 'E']
What's more, there is no evidence of any competitive evaluation of Tripp before she was offered this job.	There is increasing evidence that the board brought in experts to evaluate Tripp prior to making an offer.	['C', 'N', 'C', 'C', 'N']	['C', 'C', 'C', 'C', 'C']
What's more, there is no evidence of any competitive evaluation of Tripp before she was offered this job.	Tripp is not qualified for the offer she received.	['N', 'N', 'N', 'C', 'N']	['N', 'C', 'N', 'N', 'C']
The story of the technology business gets spiced up because the reality is so bland.	Reality is so bland that the technology business gets spiced up.	['E', 'E', 'N', 'E', 'E']	['E', 'E', 'E', 'E', 'N']
The story of the technology business gets spiced up because the reality is so bland.	Reality is so bland that the garbage business gets spiced up.	['C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
The story of the technology business gets spiced up because the reality is so bland.	Reality is so bland that the virtual reality technology business gets spiced up.	['N', 'E', 'N', 'N', 'N']	['N', 'N', 'N', 'E', 'C']
Just look at the entertainment industry's self-image instead.	Instead of looking into the self image of the tobacco industry, look at the entertainment industry.	['E', 'N', 'N', 'N', 'N']	['C', 'C', 'C', 'N', 'C']
Just look at the entertainment industry's self-image instead.	Instead, take a look at the entertainment industry and its self image.	['E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
Just look at the entertainment industry's self-image instead.	Look at the lawnmower industry for example.	['C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
He needs to keep his finger on the pulse to succeed during the short tourist season.	The tourism season is so long that he will be successful eventually.	['C', 'C', 'C', 'E', 'C']	['C', 'C', 'C', 'C', 'C']
He needs to keep his finger on the pulse to succeed during the short tourist season.	He needs to match what his customer want because he only has three weeks to make it happen!	['N', 'N', 'N', 'C', 'N']	['N', 'C', 'N', 'N', 'N']
He needs to keep his finger on the pulse to succeed during the short tourist season.	He needs to match what his customer want.	['E', 'E', 'E', 'E', 'E']	['E', 'C', 'E', 'E', 'E']
Five minutes later she smiled contentedly at her reflection in the glass.	She was not content with how she looked.	['C', 'C', 'C', 'C', 'E']	['C', 'C', 'C', 'N', 'C']
Five minutes later she smiled contentedly at her reflection in the glass.	She smiled after being satisfied with how she looked.	['E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
Five minutes later she smiled contentedly at her reflection in the glass.	She was looking at her reflection in the rearview mirror of her car.	['N', 'N', 'N', 'N', 'N']	['N', 'N', 'N', 'N', 'N']
I noticed that there was a long branch running out from the tree in the right direction.	There was a rather lengthy branch that was pointing in the right direction.	['E', 'E', 'E', 'E', 'E']	['E', 'N', 'E', 'E', 'N']
I noticed that there was a long branch running out from the tree in the right direction.	I did not notice the long branch pointing in the right direction.	['C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
I noticed that there was a long branch running out from the tree in the right direction.	The branch was positioned in the right position on purpose.	['C', 'N', 'N', 'N', 'N']	['C', 'N', 'N', 'N', 'N']
A lot of people rely on their local government for protection.	The government is not involved in the protection of citizens.	['C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
A lot of people rely on their local government for protection.	The government provides protection to minority groups.	['N', 'E', 'N', 'N', 'E']	['N', 'N', 'N', 'N', 'C']
